date,length,mouth,mouth.mm
12/9/19,17,673,4.0219153
12/9/19,14,537,3.2091657
12/9/19,19,639,3.8187279
12/9/19,14,574,3.4302814
12/9/19,14,524,3.1314764
12/9/19,19,664,3.9681304
12/9/19,15,550,3.286855
12/9/19,17,654,3.9083694
12/9/19,14,507,3.0298827
12/9/19,16,530,3.167333
12/9/19,18,674,4.0278914
12/9/19,19,664,3.9681304
12/9/19,11,407,2.4322727
12/9/19,14,569,3.4004009
12/9/19,15,493,2.9462173
12/9/19,15,539,3.2211179
12/9/19,10,398,2.3784878
12/9/19,14,615,3.6753015
12/9/19,15,628,3.7529908
12/9/19,16,627,3.7470147
12/9/19,14,496,2.9641456
12/9/19,14,469,2.8027909
12/9/19,13,554,3.3107594
12/9/19,10,361,2.1573721
12/9/19,12,530,3.167333
12/9/19,15,561,3.3525921
23-Oct,8,359,2.1454199
23-Oct,8,395,2.3605595
23-Oct,8,429,2.5637469
23-Oct,8,403,2.4083683
23-Oct,7,423,2.5278903
23-Oct,8,435,2.5996035
23-Oct,7,387,2.3127507
23-Oct,7,380,2.270918
23-Oct,8,429,2.5637469
23-Oct,7,425,2.5398425
23-Oct,7,420,2.509962
23-Oct,7,319,1.9063759
23-Oct,6,328,1.9601608
23-Oct,9,519,3.1015959
23-Oct,7,350,2.091635
23-Oct,7,353,2.1095633
23-Oct,6,315,1.8824715
23-Oct,7,391,2.3366551
23-Oct,7,408,2.4382488
23-Oct,20,768,4.5896448
23-Oct,20,711,4.2490071
23-Oct,20,734,4.3864574
23-Oct,20,812,4.8525932
23-Oct,20,714,4.2669354
23-Oct,19,716,4.2788876
23-Oct,20,820,4.900402
23-Oct,18,716,4.2788876
23-Oct,15,680,4.063748
23-Oct,17,684,4.0876524
23-Oct,19,757,4.5239077
23-Oct,21,795,4.7509995
9-Dec,17,699,4.1772939
9-Dec,9,447,2.6713167
9-Dec,7,298,1.7808778
9-Dec,11,496,2.9641456
9-Dec,11,565,3.3764965
9-Dec,14,624,3.7290864
9-Dec,12,526,3.1434286
9-Dec,11,460,2.749006
9-Dec,11,481,2.8745041
9-Dec,12,545,3.2569745
9-Dec,12,482,2.8804802
9-Dec,11,439,2.6235079
9-Dec,13,574,3.4302814
9-Dec,12,470,2.808767
9-Dec,12,565,3.3764965
9-Dec,14,658,3.9322738
9-Dec,14,584,3.4900424
9-Dec,12,552,3.2988072
9-Dec,14,588,3.5139468
9-Dec,13,624,3.7290864
9-Dec,12,560,3.346616
9-Dec,15,600,3.58566
9-Dec,14,652,3.8964172
9-Dec,11,526,3.1434286
9-Dec,14,592,3.5378512
9-Dec,13,576,3.4422336
9-Dec,13,591,3.5318751
9-Dec,13,507,3.0298827
9-Dec,15,584,3.4900424
9-Dec,10,476,2.8446236
9-Dec,11,505,3.0179305
9-Dec,12,496,2.9641456
9-Dec,13,507,3.0298827
9-Dec,11,503,3.0059783
9-Dec,13,513,3.0657393
9-Dec,15,586,3.5019946
9-Dec,15,569,3.4004009
9-Dec,11,518,3.0956198
9-Dec,12,563,3.3645443
9-Dec,16,602,3.5976122
21-Jan,20,657,3.9262977
21-Jan,9,392,2.3426312
21-Jan,19,651,3.8904411
21-Jan,9,487,2.9103607
21-Jan,14,538,3.2151418
21-Jan,15,623,3.7231103
21-Jan,7,386,2.3067746
21-Jan,14,587,3.5079707
21-Jan,11,589,3.5199229
21-Jan,15,497,2.9701217
21-Jan,14,575,3.4362575
21-Jan,18,680,4.063748
21-Jan,16,639,3.8187279
21-Jan,14,637,3.8067757
21-Jan,14,482,2.8804802
21-Jan,15,670,4.003987
21-Jan,7,330,1.972113
21-Jan,8,366,2.1872526
21-Jan,11,553,3.3047833
21-Jan,9,439,2.6235079
21-Jan,19,641,3.8306801
21-Jan,18,631,3.7709191
21-Jan,19,616,3.6812776
21-Jan,18,665,3.9741065
21-Jan,12,506,3.0239066
21-Jan,15,574,3.4302814
21-Jan,10,484,2.8924324
21-Jan,14,575,3.4362575
21-Jan,10,599,3.5796839
21-Jan,16,573,3.4243053
21-Jan,17,677,4.0458197
21-Jan,12,611,3.6513971
21-Jan,13,581,3.4721141
21-Jan,9,478,2.8565758
21-Jan,15,669,3.9980109
21-Jan,10,480,2.868528
21-Jan,9,485,2.8984085
21-Jan,15,676,4.0398436
21-Jan,12,515,3.0776915